exec_date,signal_date,sell_code,buy_code,sell_price_ohlc4,buy_price_ohlc4,sell_commission,buy_commission,cash_before_trade,nav_after_trade_eod,action,holdings,cash_ratio,holding_ratios
2020-02-10,2020-02-07,,159915.SZ,,1.94725,0.0,4.997638167217761,39983.60415682569,40104.417465482824,调仓买入,"159915.SZ,518880.SH,159985.SZ,510300.SH",0.12467796074098074,"159915.SZ:0.2510,518880.SH:0.2488,159985.SZ:0.1251,510300.SH:0.2504"
2020-02-10,2020-02-07,,518880.SH,,3.4869999999999997,0.0,4.997638167217761,39983.60415682569,40104.417465482824,调仓买入,"159915.SZ,518880.SH,159985.SZ,510300.SH",0.12467796074098074,"159915.SZ:0.2510,518880.SH:0.2488,159985.SZ:0.1251,510300.SH:0.2504"
2020-02-10,2020-02-07,,159985.SZ,,0.94625,0.0,2.4988190836088804,39983.60415682569,40104.417465482824,调仓买入,"159915.SZ,518880.SH,159985.SZ,510300.SH",0.12467796074098074,"159915.SZ:0.2510,518880.SH:0.2488,159985.SZ:0.1251,510300.SH:0.2504"
2020-02-10,2020-02-07,,510300.SH,,4.3911074999999995,0.0,4.997638167217761,39983.60415682569,40104.417465482824,调仓买入,"159915.SZ,518880.SH,159985.SZ,510300.SH",0.12467796074098074,"159915.SZ:0.2510,518880.SH:0.2488,159985.SZ:0.1251,510300.SH:0.2504"
2020-02-11,2020-02-11,159985.SZ,,0.94775,,1.2513901117518182,0.0,5000.273976355789,40102.54619401538,风险减半仓,"159915.SZ,518880.SH,159985.SZ,510300.SH",0.18706549887017376,"159915.SZ:0.2492,518880.SH:0.2482,159985.SZ:0.0624,510300.SH:0.2531"
2020-02-13,2020-02-13,510300.SH,,4.47960825,,2.549181631784642,0.0,7502.213873066806,40423.364977859484,风险减半仓,"159915.SZ,518880.SH,159985.SZ,510300.SH",0.311652133905835,"159915.SZ:0.2524,518880.SH:0.2475,159985.SZ:0.0626,510300.SH:0.1258"
2020-02-24,2020-02-21,159985.SZ,,0.9425000000000001,,0.0,0.0,7544.057994752233,42195.27088538446,调仓卖出,"159915.SZ,518880.SH,510300.SH,512890.SH",0.1787891826845774,"159915.SZ:0.2650,518880.SH:0.2530,510300.SH:0.1254,512890.SH:0.1778"
2020-02-24,2020-02-21,,512890.SH,,1.15,0.0,3.77014392541341,42119.97773544877,42195.27088538446,调仓买入,"159915.SZ,518880.SH,510300.SH,512890.SH",0.1787891826845774,"159915.SZ:0.2650,518880.SH:0.2530,510300.SH:0.1254,512890.SH:0.1778"
2020-02-25,2020-02-25,512890.SH,,1.124,,1.842452944419423,0.0,7544.264681272638,41943.119843440276,风险减半仓,"159915.SZ,518880.SH,510300.SH,512890.SH",0.26767985212056106,"159915.SZ:0.2685,518880.SH:0.2493,510300.SH:0.1260,512890.SH:0.0886"
2020-02-28,2020-02-28,159915.SZ,,2.02375,,2.596988121942982,0.0,11228.250936541146,40659.366633811995,风险减半仓,"159915.SZ,518880.SH,510300.SH,512890.SH",0.40383388999106395,"159915.SZ:0.1259,518880.SH:0.2554,510300.SH:0.1245,512890.SH:0.0903"
